Epoka;Koszty;Zarobki;Saldo
1;528,00;666,00;138,00
2;528,00;666,00;138,00
3;528,00;666,00;138,00
4;528,00;666,00;138,00
5;528,00;666,00;138,00
6;556,80;672,00;115,20
7;556,80;672,00;115,20
8;556,80;672,00;115,20
9;556,80;672,00;115,20
10;556,80;672,00;115,20
11;556,80;672,00;115,20
12;556,80;804,00;247,20
13;720,00;924,00;204,00
14;720,00;924,00;204,00
15;720,00;924,00;204,00
16;720,00;924,00;204,00
17;720,00;924,00;204,00
18;720,00;1044,00;324,00
19;770,40;1260,00;489,60
20;770,40;1260,00;489,60
21;818,40;1332,00;513,60
22;993,60;1536,00;542,40
23;1075,20;1716,00;640,80
24;1075,20;1716,00;640,80
25;1228,80;1854,00;625,20
26;1243,20;1878,00;634,80
27;1243,20;1878,00;634,80
28;1243,20;1878,00;634,80
29;1305,60;1962,00;656,40
30;1305,60;1962,00;656,40
31;1322,40;1974,00;651,60
32;1418,40;2070,00;651,60
33;1428,00;2172,00;744,00
34;1428,00;2172,00;744,00
35;1428,00;2172,00;744,00
36;1476,00;2196,00;720,00
37;1596,00;2406,00;810,00
38;1596,00;2406,00;810,00
39;1596,00;2406,00;810,00
40;1596,00;2406,00;810,00
41;1665,60;2520,00;854,40
42;1665,60;2520,00;854,40
43;1687,20;2580,00;892,80
44;1687,20;2580,00;892,80
45;1804,80;2760,00;955,20
46;1804,80;2760,00;955,20
47;1807,20;2820,00;1012,80
48;1869,60;2892,00;1022,40
49;1874,40;2922,00;1047,60
50;1912,80;2940,00;1027,20
51;1941,60;3030,00;1088,40
52;1941,60;3030,00;1088,40
53;1941,60;3120,00;1178,40
54;1941,60;3120,00;1178,40
55;1946,40;3156,00;1209,60
56;1946,40;3156,00;1209,60
57;1963,20;3216,00;1252,80
58;1963,20;3216,00;1252,80
59;1963,20;3216,00;1252,80
60;2128,80;3438,00;1309,20
61;2217,60;3468,00;1250,40
62;2217,60;3492,00;1274,40
63;2217,60;3492,00;1274,40
64;2419,20;3624,00;1204,80
65;2419,20;3624,00;1204,80
66;2419,20;3636,00;1216,80
67;2486,40;3756,00;1269,60
68;2486,40;3756,00;1269,60
69;2486,40;3756,00;1269,60
70;2563,20;3900,00;1336,80
71;2563,20;3900,00;1336,80
72;2563,20;3900,00;1336,80
73;2563,20;3900,00;1336,80
74;2606,40;3918,00;1311,60
75;2692,80;4050,00;1357,20
76;2692,80;4050,00;1357,20
77;2776,80;4182,00;1405,20
78;2776,80;4182,00;1405,20
79;2776,80;4182,00;1405,20
80;2815,20;4284,00;1468,80
81;2815,20;4284,00;1468,80
82;2822,40;4308,00;1485,60
83;2827,20;4374,00;1546,80
84;2904,00;4518,00;1614,00
85;2904,00;4518,00;1614,00
86;2952,00;4608,00;1656,00
87;2992,80;4692,00;1699,20
88;2997,60;4710,00;1712,40
89;3021,60;4740,00;1718,40
90;3086,40;4980,00;1893,60
91;3086,40;5004,00;1917,60
92;3086,40;5004,00;1917,60
93;3086,40;5004,00;1917,60
94;3175,20;5130,00;1954,80
95;3175,20;5130,00;1954,80
96;3175,20;5130,00;1954,80
97;3216,00;5286,00;2070,00
98;3216,00;5412,00;2196,00
99;3216,00;5412,00;2196,00
100;3264,00;5508,00;2244,00
