Epoka;Koszty;Zarobki;Saldo
1;152,00;196,80;44,80
2;152,00;196,80;44,80
3;152,00;196,80;44,80
4;152,00;196,80;44,80
5;152,00;196,80;44,80
6;152,00;196,80;44,80
7;152,00;196,80;44,80
8;152,00;196,80;44,80
9;152,00;196,80;44,80
10;152,00;196,80;44,80
11;152,00;196,80;44,80
12;152,00;196,80;44,80
13;152,00;196,80;44,80
14;152,00;196,80;44,80
15;152,00;196,80;44,80
16;384,00;484,80;100,80
17;384,00;484,80;100,80
18;384,00;484,80;100,80
19;384,00;484,80;100,80
20;384,00;484,80;100,80
21;384,00;484,80;100,80
22;384,00;484,80;100,80
23;536,00;668,80;132,80
24;536,00;668,80;132,80
25;536,00;668,80;132,80
26;536,00;668,80;132,80
27;536,00;668,80;132,80
28;536,00;668,80;132,80
29;536,00;668,80;132,80
30;632,00;793,60;161,60
31;632,00;793,60;161,60
32;632,00;793,60;161,60
33;632,00;793,60;161,60
34;632,00;793,60;161,60
35;632,00;793,60;161,60
36;632,00;793,60;161,60
37;632,00;793,60;161,60
38;632,00;793,60;161,60
39;632,00;793,60;161,60
40;656,00;827,20;171,20
41;656,00;827,20;171,20
42;656,00;827,20;171,20
43;656,00;827,20;171,20
44;752,00;952,00;200,00
45;752,00;952,00;200,00
46;752,00;952,00;200,00
47;752,00;952,00;200,00
48;752,00;952,00;200,00
49;752,00;952,00;200,00
50;752,00;952,00;200,00
51;752,00;952,00;200,00
52;752,00;952,00;200,00
53;752,00;952,00;200,00
54;824,00;1043,20;219,20
55;824,00;1043,20;219,20
56;944,00;1187,20;243,20
57;944,00;1187,20;243,20
58;1040,00;1312,00;272,00
59;1040,00;1312,00;272,00
60;1040,00;1312,00;272,00
61;1264,00;1585,60;321,60
62;1328,00;1664,00;336,00
63;1328,00;1664,00;336,00
64;1328,00;1664,00;336,00
65;1328,00;1664,00;336,00
66;1328,00;1664,00;336,00
67;1328,00;1664,00;336,00
68;1328,00;1664,00;336,00
69;1328,00;1664,00;336,00
70;1328,00;1664,00;336,00
71;1328,00;1664,00;336,00
72;1328,00;1664,00;336,00
73;1328,00;1664,00;336,00
74;1408,00;1760,00;352,00
75;1472,00;1838,40;366,40
76;1472,00;1838,40;366,40
77;1472,00;1838,40;366,40
78;1472,00;1838,40;366,40
79;1472,00;1838,40;366,40
80;1472,00;1838,40;366,40
81;1472,00;1838,40;366,40
82;1472,00;1838,40;366,40
83;1472,00;1838,40;366,40
84;1472,00;1838,40;366,40
85;1488,00;1859,20;371,20
86;1488,00;1859,20;371,20
87;1624,00;2024,00;400,00
88;1624,00;2024,00;400,00
89;1640,00;2044,80;404,80
90;1640,00;2044,80;404,80
91;1640,00;2044,80;404,80
92;1640,00;2044,80;404,80
93;1656,00;2065,60;409,60
94;1656,00;2065,60;409,60
95;1656,00;2065,60;409,60
96;1656,00;2065,60;409,60
97;1672,00;2086,40;414,40
98;1672,00;2086,40;414,40
99;1672,00;2086,40;414,40
100;1672,00;2086,40;414,40
101;1672,00;2086,40;414,40
102;1760,00;2196,80;436,80
103;1760,00;2196,80;436,80
104;1760,00;2196,80;436,80
105;1760,00;2196,80;436,80
106;1776,00;2217,60;441,60
107;1856,00;2315,20;459,20
108;1856,00;2315,20;459,20
109;1856,00;2315,20;459,20
110;1856,00;2315,20;459,20
111;1856,00;2315,20;459,20
112;1856,00;2315,20;459,20
113;1856,00;2315,20;459,20
114;1856,00;2315,20;459,20
115;1856,00;2315,20;459,20
116;1856,00;2315,20;459,20
117;1976,00;2459,20;483,20
118;1976,00;2459,20;483,20
119;1976,00;2459,20;483,20
120;1976,00;2459,20;483,20
121;1976,00;2459,20;483,20
122;1976,00;2459,20;483,20
123;1976,00;2459,20;483,20
124;2064,00;2572,80;508,80
125;2064,00;2572,80;508,80
126;2064,00;2572,80;508,80
127;2064,00;2572,80;508,80
128;2080,00;2593,60;513,60
129;2080,00;2593,60;513,60
130;2080,00;2593,60;513,60
131;2080,00;2593,60;513,60
132;2096,00;2614,40;518,40
133;2096,00;2614,40;518,40
134;2096,00;2614,40;518,40
135;2232,00;2779,20;547,20
136;2248,00;2800,00;552,00
137;2248,00;2800,00;552,00
138;2248,00;2800,00;552,00
139;2248,00;2800,00;552,00
140;2248,00;2800,00;552,00
