Epoka;Koszty;Zarobki;Saldo
1;228,00;281,60;53,60
2;228,00;281,60;53,60
3;228,00;281,60;53,60
4;228,00;281,60;53,60
5;228,00;281,60;53,60
6;252,00;310,40;58,40
7;252,00;310,40;58,40
8;252,00;310,40;58,40
9;252,00;310,40;58,40
10;252,00;310,40;58,40
11;252,00;310,40;58,40
12;252,00;310,40;58,40
13;252,00;310,40;58,40
14;252,00;310,40;58,40
15;252,00;310,40;58,40
16;252,00;310,40;58,40
17;252,00;310,40;58,40
18;252,00;310,40;58,40
19;266,00;328,00;62,00
20;266,00;328,00;62,00
21;266,00;328,00;62,00
22;300,00;370,40;70,40
23;300,00;370,40;70,40
24;300,00;370,40;70,40
25;320,00;395,20;75,20
26;338,00;418,00;80,00
27;338,00;418,00;80,00
28;338,00;418,00;80,00
29;338,00;418,00;80,00
30;338,00;418,00;80,00
31;362,00;448,80;86,80
32;362,00;448,80;86,80
33;362,00;448,80;86,80
34;362,00;448,80;86,80
35;362,00;448,80;86,80
36;410,00;508,00;98,00
37;438,00;543,20;105,20
38;438,00;543,20;105,20
39;438,00;543,20;105,20
40;438,00;543,20;105,20
41;506,00;626,80;120,80
42;506,00;626,80;120,80
43;544,00;676,40;132,40
44;544,00;676,40;132,40
45;578,00;718,80;140,80
46;578,00;718,80;140,80
47;582,00;724,00;142,00
48;582,00;724,00;142,00
49;590,00;734,40;144,40
50;634,00;789,60;155,60
51;634,00;789,60;155,60
52;634,00;789,60;155,60
53;634,00;789,60;155,60
54;634,00;789,60;155,60
55;642,00;800,00;158,00
56;642,00;800,00;158,00
57;656,00;816,80;160,80
58;656,00;816,80;160,80
59;656,00;816,80;160,80
60;660,00;822,00;162,00
61;748,00;930,40;182,40
62;748,00;930,40;182,40
63;748,00;930,40;182,40
64;822,00;1021,20;199,20
65;822,00;1021,20;199,20
66;822,00;1021,20;199,20
67;822,00;1021,20;199,20
68;822,00;1021,20;199,20
69;822,00;1021,20;199,20
70;822,00;1021,20;199,20
71;822,00;1021,20;199,20
72;822,00;1021,20;199,20
73;822,00;1021,20;199,20
74;870,00;1081,20;211,20
75;870,00;1081,20;211,20
76;870,00;1081,20;211,20
77;900,00;1120,40;220,40
78;900,00;1120,40;220,40
79;900,00;1120,40;220,40
80;900,00;1120,40;220,40
81;900,00;1120,40;220,40
82;912,00;1136,00;224,00
83;926,00;1154,80;228,80
84;926,00;1154,80;228,80
85;926,00;1154,80;228,80
86;926,00;1154,80;228,80
87;962,00;1198,40;236,40
88;970,00;1208,80;238,80
89;996,00;1241,20;245,20
90;1030,00;1283,60;253,60
91;1036,00;1292,00;256,00
92;1036,00;1292,00;256,00
93;1036,00;1292,00;256,00
94;1086,00;1352,80;266,80
95;1086,00;1352,80;266,80
96;1086,00;1352,80;266,80
97;1090,00;1358,00;268,00
98;1090,00;1358,00;268,00
99;1090,00;1358,00;268,00
100;1090,00;1358,00;268,00
