Epoka;Koszty;Zarobki;Saldo
1;88,00;107,20;19,20
2;88,00;107,20;19,20
3;88,00;107,20;19,20
4;88,00;107,20;19,20
5;88,00;107,20;19,20
6;88,00;107,20;19,20
7;88,00;107,20;19,20
8;88,00;107,20;19,20
9;88,00;107,20;19,20
10;88,00;107,20;19,20
11;152,00;185,60;33,60
12;152,00;185,60;33,60
13;152,00;185,60;33,60
14;152,00;185,60;33,60
15;152,00;185,60;33,60
16;152,00;185,60;33,60
17;152,00;185,60;33,60
18;152,00;185,60;33,60
19;152,00;185,60;33,60
20;216,00;263,20;47,20
21;296,00;360,00;64,00
22;296,00;360,00;64,00
23;296,00;360,00;64,00
24;296,00;360,00;64,00
25;312,00;380,80;68,80
26;312,00;380,80;68,80
27;312,00;380,80;68,80
28;312,00;380,80;68,80
29;312,00;380,80;68,80
30;348,00;427,20;79,20
31;364,00;448,00;84,00
32;364,00;448,00;84,00
33;364,00;448,00;84,00
34;364,00;448,00;84,00
35;364,00;448,00;84,00
36;364,00;448,00;84,00
37;364,00;448,00;84,00
38;364,00;448,00;84,00
39;432,00;532,80;100,80
40;432,00;532,80;100,80
41;432,00;532,80;100,80
42;432,00;532,80;100,80
43;508,00;628,00;120,00
44;508,00;628,00;120,00
45;508,00;628,00;120,00
46;508,00;628,00;120,00
47;508,00;628,00;120,00
48;508,00;628,00;120,00
49;508,00;628,00;120,00
50;508,00;628,00;120,00
51;508,00;628,00;120,00
52;508,00;628,00;120,00
53;508,00;628,00;120,00
54;508,00;628,00;120,00
55;508,00;628,00;120,00
56;508,00;628,00;120,00
57;508,00;628,00;120,00
58;508,00;628,00;120,00
59;508,00;628,00;120,00
60;600,00;742,40;142,40
61;600,00;742,40;142,40
62;600,00;742,40;142,40
63;600,00;742,40;142,40
64;600,00;742,40;142,40
65;652,00;805,60;153,60
66;652,00;805,60;153,60
67;652,00;805,60;153,60
68;652,00;805,60;153,60
69;652,00;805,60;153,60
70;652,00;805,60;153,60
71;652,00;805,60;153,60
72;652,00;805,60;153,60
73;652,00;805,60;153,60
74;728,00;898,40;170,40
75;728,00;898,40;170,40
76;756,00;933,60;177,60
77;756,00;933,60;177,60
78;756,00;933,60;177,60
79;756,00;933,60;177,60
80;756,00;933,60;177,60
81;756,00;933,60;177,60
82;756,00;933,60;177,60
83;756,00;933,60;177,60
84;756,00;933,60;177,60
85;756,00;933,60;177,60
86;756,00;933,60;177,60
87;756,00;933,60;177,60
88;756,00;933,60;177,60
89;756,00;933,60;177,60
90;756,00;933,60;177,60
91;756,00;933,60;177,60
92;756,00;933,60;177,60
93;824,00;1017,60;193,60
94;824,00;1017,60;193,60
95;824,00;1017,60;193,60
96;824,00;1017,60;193,60
97;824,00;1017,60;193,60
98;824,00;1017,60;193,60
99;824,00;1017,60;193,60
100;824,00;1017,60;193,60
101;824,00;1017,60;193,60
102;824,00;1017,60;193,60
103;824,00;1017,60;193,60
104;824,00;1017,60;193,60
105;824,00;1017,60;193,60
106;824,00;1017,60;193,60
107;824,00;1017,60;193,60
108;824,00;1017,60;193,60
109;824,00;1017,60;193,60
110;920,00;1136,00;216,00
111;920,00;1136,00;216,00
112;940,00;1160,80;220,80
113;940,00;1160,80;220,80
114;940,00;1160,80;220,80
115;940,00;1160,80;220,80
116;940,00;1160,80;220,80
117;940,00;1160,80;220,80
118;940,00;1160,80;220,80
119;940,00;1160,80;220,80
120;940,00;1160,80;220,80
121;940,00;1160,80;220,80
122;940,00;1160,80;220,80
123;940,00;1160,80;220,80
124;940,00;1160,80;220,80
125;940,00;1160,80;220,80
126;940,00;1160,80;220,80
127;940,00;1160,80;220,80
128;940,00;1160,80;220,80
129;940,00;1160,80;220,80
130;940,00;1160,80;220,80
131;940,00;1160,80;220,80
132;940,00;1160,80;220,80
133;940,00;1160,80;220,80
134;940,00;1160,80;220,80
135;940,00;1160,80;220,80
136;948,00;1171,20;223,20
137;948,00;1171,20;223,20
138;948,00;1171,20;223,20
139;984,00;1217,60;233,60
140;992,00;1228,00;236,00
