Epoka;Koszty;Zarobki;Saldo
1;984,00;0,00;-984,00
2;984,00;0,00;-984,00
3;984,00;0,00;-984,00
4;984,00;0,00;-984,00
5;984,00;0,00;-984,00
6;984,00;0,00;-984,00
7;984,00;0,00;-984,00
8;984,00;0,00;-984,00
9;984,00;125,00;-859,00
10;1172,00;225,00;-947,00
11;1261,20;275,00;-986,20
12;1261,20;450,00;-811,20
13;1261,20;750,00;-511,20
14;1580,40;1000,00;-580,40
15;1580,40;1325,00;-255,40
16;1580,40;1550,00;-30,40
17;1619,20;1825,00;205,80
18;1619,20;2025,00;405,80
19;1619,20;2300,00;680,80
20;1735,20;2750,00;1014,80
21;2037,60;3050,00;1012,40
22;2037,60;3375,00;1337,40
23;2180,00;3550,00;1370,00
24;2180,00;3750,00;1570,00
25;2257,20;3950,00;1692,80
26;2257,20;4200,00;1942,80
27;2257,20;4450,00;2192,80
28;2418,40;4675,00;2256,60
29;2646,40;5025,00;2378,60
30;2758,80;5525,00;2766,20
31;2955,60;5900,00;2944,40
32;2976,00;6350,00;3374,00
33;2976,00;6725,00;3749,00
34;2976,00;7075,00;4099,00
35;3175,60;7475,00;4299,40
36;3175,60;7900,00;4724,40
37;3375,20;8150,00;4774,80
38;3390,00;8575,00;5185,00
39;3484,40;8800,00;5315,60
40;3484,40;9100,00;5615,60
41;3673,20;9225,00;5551,80
42;3682,00;9650,00;5968,00
43;4115,60;9875,00;5759,40
44;4115,60;10325,00;6209,40
45;4136,00;10625,00;6489,00
46;4136,00;10975,00;6839,00
47;4403,60;11225,00;6821,40
48;4403,60;11275,00;6871,40
49;4403,60;11300,00;6896,40
50;4403,60;11350,00;6946,40
51;4403,60;11450,00;7046,40
52;4710,80;11600,00;6889,20
53;4848,00;11725,00;6877,00
54;4848,00;11900,00;7052,00
55;4892,40;11950,00;7057,60
56;4892,40;12175,00;7282,60
57;4904,00;12275,00;7371,00
58;5086,80;12425,00;7338,20
59;5086,80;12700,00;7613,20
60;5312,00;12975,00;7663,00
61;5312,00;13225,00;7913,00
62;5506,80;13575,00;8068,20
63;5506,80;14075,00;8568,20
64;5527,20;14425,00;8897,80
65;5729,20;14925,00;9195,80
66;5729,20;15200,00;9470,80
67;5729,20;15700,00;9970,80
68;6034,80;16100,00;10065,20
69;6034,80;16500,00;10465,20
70;6153,20;16900,00;10746,80
71;6153,20;17100,00;10946,80
72;6153,20;17275,00;11121,80
73;6153,20;17475,00;11321,80
74;6230,40;17700,00;11469,60
75;6230,40;17800,00;11569,60
76;6325,60;17850,00;11524,40
77;6325,60;17975,00;11649,40
78;6325,60;18175,00;11849,40
79;6498,00;18450,00;11952,00
80;6569,20;18675,00;12105,80
81;6569,20;18875,00;12305,80
82;6694,40;19425,00;12730,60
83;6750,80;19675,00;12924,20
84;6750,80;20075,00;13324,20
85;6932,00;20650,00;13718,00
86;7198,00;21325,00;14127,00
87;7368,00;21850,00;14482,00
88;7430,40;22300,00;14869,60
89;7439,20;22625,00;15185,80
90;7439,20;22875,00;15435,80
91;7502,00;23025,00;15523,00
92;7502,00;23325,00;15823,00
93;7590,80;23400,00;15809,20
94;7590,80;23575,00;15984,20
95;7768,80;23800,00;16031,20
96;7898,40;24150,00;16251,60
97;8028,80;24550,00;16521,20
98;8148,00;24700,00;16552,00
99;8148,00;24925,00;16777,00
100;8267,20;25050,00;16782,80
101;8326,40;25075,00;16748,60
102;8377,20;25175,00;16797,80
103;8377,20;25300,00;16922,80
104;8398,00;25425,00;17027,00
105;8398,00;25675,00;17277,00
106;8398,00;25875,00;17477,00
107;8433,60;26200,00;17766,40
108;8742,40;26475,00;17732,60
109;8742,40;26675,00;17932,60
110;8875,20;27125,00;18249,80
111;8875,20;27550,00;18674,80
112;9190,00;28025,00;18835,00
113;9190,00;28425,00;19235,00
114;9252,40;28750,00;19497,60
115;9377,60;28925,00;19547,40
116;9377,60;29100,00;19722,40
117;9377,60;29300,00;19922,40
118;9437,20;29525,00;20087,80
119;9484,80;29750,00;20265,20
120;9603,20;29975,00;20371,80
121;9716,40;30350,00;20633,60
122;9810,80;30575,00;20764,20
123;9942,00;30950,00;21008,00
124;10101,60;31175,00;21073,40
125;10128,00;31400,00;21272,00
126;10128,00;31575,00;21447,00
127;10128,00;31725,00;21597,00
128;10282,40;32000,00;21717,60
129;10448,80;32300,00;21851,20
130;10457,60;32525,00;22067,40
131;10457,60;32800,00;22342,40
132;10457,60;33075,00;22617,40
133;10457,60;33175,00;22717,40
134;10457,60;33350,00;22892,40
135;10543,60;33650,00;23106,40
136;10638,40;33850,00;23211,60
137;10638,40;34000,00;23361,60
138;10638,40;34250,00;23611,60
139;10806,40;34750,00;23943,60
140;10896,00;35250,00;24354,00
